,Mean,Farmer No.,Zeros,Eligibility,loan
504,10119.423076923078,512,1.35,2,61545.029239766096
505,29001.144230769227,513,4.95,2,176381.22807017542
506,5863.409615384615,514,3.25,2,35660.5029239766
507,4754.38076923077,515,10.675,2,28915.532163742697
508,20337.45384615384,516,5.2,2,123689.77777777774
509,6576.405769230769,517,1.3,2,39996.85380116959
510,58773.41923076923,518,0.325,2,357452.37426900584
511,12225.201923076924,519,0.15,2,74352.1052631579
512,44912.96538461538,520,6.2,2,273154.8771929825
513,74826.76153846156,521,0.0,1,457763.717647059
514,23533.73653846154,522,0.025,2,143129.15789473685
515,36070.348076923096,523,2.0,2,219375.21637426913
516,8853.582692307693,524,0.625,2,53846.350877192985
517,28905.8,525,0.0,2,175801.3567251462
518,23583.46538461538,526,0.65,2,143431.60233918126
519,35440.08269230769,527,0.0,2,215542.02339181287
520,29266.313461538462,528,0.0,2,177993.95321637427
521,1739.769230769231,530,4.3,2,10581.052631578948
522,10615.80576923077,531,0.0,2,64563.96491228071
523,45113.49807692309,532,0.325,2,274374.4912280703
524,41885.30192307693,533,2.3,2,254741.0175438597
525,48665.255769230775,534,0.0,1,297716.85882352944
526,30760.384615384624,535,1.75,2,187080.701754386
527,240404.13269230764,536,2.225,2,1462107.0058479528
528,39013.66153846153,537,2.05,2,237276.07017543857
529,2308.3403846153856,538,0.0,2,14039.029239766087
530,9667.567307692309,539,0.0,2,58796.90058479532
531,17653.528846153844,540,0.025,2,107366.49122807015
532,23776.92692307692,541,0.0,2,144608.21052631576
533,9338.625000000002,542,0.525,2,56796.315789473694
